date,id,name,y_items,y_actual_cost,total_list_size
2014-10-01,P84659,"DR HUSSAIN'S PRACTICE",84,220.37,0
2014-10-01,P84605,"FERNCLOUGH SURGERY",33,94.7,2154
2014-10-01,Y02520,"SIMPSON MEDICAL PRACTICE",74,853.44,4720
2014-10-01,P84623,"ALEESHAN MEDICAL CENTRE",25,46.11,1297
2014-10-01,P84683,"THE DOC'S SURGERY",152,805.43,6256
2014-10-01,P84039,"THE RANGE MEDICAL CENTRE",211,922.32,8228
2014-10-01,P84639,"FALLOWFIELD MEDICAL CENTRE",56,356.64,2111
2014-10-01,P84005,"THE VALLANCE CENTRE",203,919.79,7223
2014-10-01,P84677,"DIDSBURY MEDICAL CENTRE- DR ASHWORTH",161,707.78,5574
2014-10-01,P84616,"MANCHESTER MEDICAL",190,770.03,6529
2014-10-01,P84630,"THE ARCH MEDICAL PRACTICE",372,2089.69,12381
2014-10-01,P84072,"THE ROBERT DARBISHIRE PRACTICE",610,3134.14,19985
2014-10-01,P84068,"CHORLTON FAMILY PRACTICE",306,2847.2,9847
2014-10-01,P84650,"THE ALEXANDRA PRACTICE",199,1049.97,5909
2014-10-01,P84669,"CORNBROOK MEDICAL PRACTICE",348,1571.15,9992
2014-10-01,P84034,"BARLOW MEDICAL CENTRE",500,2493.03,13424
2014-10-01,P84035,"BODEY MEDICAL CENTRE",631,2910.08,16620
2014-10-01,P84010,"THE BORCHARDT MEDICAL CENTRE",423,1873.21,11108
2014-10-01,P84009,"AILSA CRAIG MEDICAL CENTRE",357,2063.74,9342
2014-10-01,P84689,"LONGSIGHT MEDICAL PRACTICE",182,1095.15,4730
2014-10-01,P84635,"THE WHITSWOOD PRACTICE",135,680.15,3488
2014-10-01,P84038,"ASHVILLE SURGERY",306,1856.54,7899
2014-10-01,P84061,"BROOKLANDS MEDICAL PRACTICE",218,1248.33,5479
2014-10-01,P84027,"WEST POINT MEDICAL CENTRE",296,1290.33,7247
2014-10-01,P84026,"DICKENSON ROAD MEDICAL CENTRE",260,1087.36,6303
2014-10-01,P84017,"LADYBARN GROUP PRACTICE",427,1913.21,10222
2014-10-01,P84665,"AL-SHIFA MEDICAL CENTRE",116,388.59,2749
2014-10-01,P84037,"DR CUNNINGHAM & PARTNERS",297,1153.51,6825
2014-10-01,P84053,"ASHCROFT SURGERY",357,1732.05,8036
2014-10-01,P84676,"OSWALD ROAD MEDICAL PRACTICE",199,1262.07,4452
2014-10-01,P84611,"DR CHIU, KOH AND GAN",266,1560.09,5822
2014-10-01,P84626,"WILMSLOW ROAD SURGERY",214,804.69,4614
2014-10-01,P84046,"CHEETHAM HILL PRIMARY CARE CENTRE",447,2089.06,9540
2014-10-01,P84042,"FLORENCE HOUSE MEDICAL PRACTICE",367,1531.93,7775
2014-10-01,P84004,"FIVE OAKS FAMILIY PRACTICE",417,2856.64,8819
2014-10-01,P84023,"SURREY LODGE PRACTICE",386,1529.72,8106
2014-10-01,P84640,"QUEENS MEDICAL CENTRE",150,669.57,3143
2014-10-01,Y02960,"NEW BANK HEALTH",246,1143.64,5016
2014-10-01,P84018,"MAULDETH MEDICAL CENTRE",302,1283.54,6153
2014-10-01,P84682,"BURNAGE HEALTHCARE PRACTICE",117,500.45,2330
